date,Average prices across India,value
02-01-2014,Maximum Price,971.7213115
02-01-2014,Minimum price,565.5901639
02-01-2014,Modal price,800.5409836
03-01-2014,Maximum Price,1051.2
03-01-2014,Minimum price,595.2666667
03-01-2014,Modal price,856.6333333
04-01-2014,Maximum Price,1138.186441
04-01-2014,Minimum price,550.6610169
04-01-2014,Modal price,861.5762712
05-01-2014,Maximum Price,1297.847458
05-01-2014,Minimum price,636.7627119
05-01-2014,Modal price,967.8135593
06-01-2014,Maximum Price,1677.935484
06-01-2014,Minimum price,797.016129
06-01-2014,Modal price,1261.290323
07-01-2014,Maximum Price,2362.79661
07-01-2014,Minimum price,1243.152542
07-01-2014,Modal price,1871.254237
08-01-2014,Maximum Price,2055.37931
08-01-2014,Minimum price,1038.103448
08-01-2014,Modal price,1638.5
09-01-2014,Maximum Price,1946.938462
09-01-2014,Minimum price,979.8
09-01-2014,Modal price,1518.753846
10-01-2014,Maximum Price,1947.953125
10-01-2014,Minimum price,961.90625
10-01-2014,Modal price,1519.046875
11-01-2014,Maximum Price,1867.9625
11-01-2014,Minimum price,955.6625
11-01-2014,Modal price,1481.3
12-01-2014,Maximum Price,1912.317647
12-01-2014,Minimum price,1009.776471
12-01-2014,Modal price,1537.458824
01-01-2015,Maximum Price,1637.097561
01-01-2015,Minimum price,863.7560976
01-01-2015,Modal price,1325.45122
02-01-2015,Maximum Price,1775.044444
02-01-2015,Minimum price,1025.6
02-01-2015,Modal price,1482.588889
03-01-2015,Maximum Price,1592.963855
03-01-2015,Minimum price,949.1686747
03-01-2015,Modal price,1325
04-01-2015,Maximum Price,1437.833333
04-01-2015,Minimum price,799.2738095
04-01-2015,Modal price,1167.630952
05-01-2015,Maximum Price,1618.045977
05-01-2015,Minimum price,869.5172414
05-01-2015,Modal price,1286.885057
06-01-2015,Maximum Price,1969.482353
06-01-2015,Minimum price,1033.411765
06-01-2015,Modal price,1565.741176
07-01-2015,Maximum Price,2395.447059
07-01-2015,Minimum price,1304.611765
07-01-2015,Modal price,1981.823529
08-01-2015,Maximum Price,4332.670455
08-01-2015,Minimum price,2423.386364
08-01-2015,Modal price,3627.806818
09-01-2015,Maximum Price,4579.865979
09-01-2015,Minimum price,2678.14433
09-01-2015,Modal price,3900.185567
10-01-2015,Maximum Price,3460.488889
10-01-2015,Minimum price,1806.911111
10-01-2015,Modal price,2838.788889
11-01-2015,Maximum Price,2687.932584
11-01-2015,Minimum price,1333.146067
11-01-2015,Modal price,2101.05618
12-01-2015,Maximum Price,1830.666667
12-01-2015,Minimum price,925.9032258
12-01-2015,Modal price,1427.516129
01-01-2016,Maximum Price,1489.759036
01-01-2016,Minimum price,750.7831325
01-01-2016,Modal price,1186.457831
02-01-2016,Maximum Price,1149.862069
02-01-2016,Minimum price,627.1954023
02-01-2016,Modal price,923.4827586
03-01-2016,Maximum Price,972.7241379
03-01-2016,Minimum price,560.5402299
03-01-2016,Modal price,802.2758621
