state,date,Modal price (Average)
GUJ,12-01-11,581
GUJ,01-01-12,400.3333333
GUJ,02-01-12,396.3333333
GUJ,03-01-12,419.5
GUJ,04-01-12,429
GUJ,05-01-12,384.4
GUJ,06-01-12,442.6
GUJ,07-01-12,526.25
GUJ,08-01-12,629.5
GUJ,09-01-12,595.75
GUJ,10-01-12,776.6666667
GUJ,11-01-12,979.6
GUJ,12-01-12,1076.166667
GUJ,01-01-13,1275.166667
GUJ,02-01-13,1204
GUJ,03-01-13,900.3333333
GUJ,04-01-13,790
GUJ,05-01-13,670.3333333
GUJ,06-01-13,1063.4
GUJ,07-01-13,1767.4
GUJ,08-01-13,3103.2
GUJ,09-01-13,3702
GUJ,10-01-13,3178
GUJ,11-01-13,2571.833333
GUJ,12-01-13,1316
GUJ,01-01-14,969.8333333
GUJ,02-01-14,656.8333333
GUJ,03-01-14,729
GUJ,04-01-14,748.1666667
GUJ,05-01-14,784
GUJ,06-01-14,1108.8
GUJ,07-01-14,1571.6
GUJ,08-01-14,1382.6
GUJ,09-01-14,1317.75
GUJ,10-01-14,1318.4
GUJ,11-01-14,1197.833333
GUJ,12-01-14,1395
GUJ,01-01-15,1156.571429
GUJ,02-01-15,1359.142857
GUJ,03-01-15,1254.428571
GUJ,04-01-15,1020.428571
GUJ,05-01-15,1037.428571
GUJ,06-01-15,1434.857143
GUJ,07-01-15,1725.5
GUJ,08-01-15,3257
GUJ,09-01-15,3413.142857
GUJ,10-01-15,2289.5
GUJ,11-01-15,1700.5
GUJ,12-01-15,1188
GUJ,01-01-16,978.5
GUJ,02-01-16,701.25
GUJ,03-01-16,672.75
HP,01-01-04,1145
HP,02-01-04,1073
HP,03-01-04,795
HP,04-01-04,677
HP,05-01-04,535
HP,06-01-04,512
HP,07-01-04,550
HP,08-01-04,678
HP,09-01-04,659
HP,10-01-04,683
HP,11-01-04,679
HP,12-01-04,640
HP,01-01-05,624
HP,02-01-05,538
HP,03-01-05,525
HP,05-01-05,529
HP,06-01-05,499
HP,07-01-05,550
HP,08-01-05,586
HP,09-01-05,1281
HP,10-01-05,1331
HP,11-01-05,1500
HP,12-01-05,1036
HP,01-01-06,658
HP,02-01-06,589
HP,03-01-06,564
HP,04-01-06,527
HP,05-01-06,475
HP,06-01-06,494
HP,01-01-07,1270
HP,02-01-07,1500
HP,03-01-07,1150
HP,04-01-07,738
HP,05-01-07,756
HP,07-01-07,450
HP,12-01-07,825
HP,01-01-08,675
HP,05-01-08,700
HP,10-01-09,2100
HP,12-01-09,650
HR,01-01-03,304
HR,02-01-03,276
HR,03-01-03,360
HR,04-01-03,443
HR,05-01-03,415
HR,06-01-03,412
HR,07-01-03,560
HR,08-01-03,546
HR,09-01-03,651
HR,10-01-03,799
HR,11-01-03,640
HR,12-01-03,644
HR,01-01-04,983
HR,02-01-04,963
HR,03-01-04,600
HR,05-01-04,375
HR,07-01-04,442
HR,08-01-04,546
HR,09-01-04,572
HR,10-01-04,728
HR,01-01-05,575
HR,02-01-05,467
HR,06-01-06,452
HR,07-01-06,490
HR,08-01-06,563
HR,09-01-06,539
HR,10-01-06,720
HR,11-01-06,582
HR,12-01-06,1078
HR,01-01-07,1047
HR,02-01-07,1262
HR,03-01-07,947
HR,04-01-07,685.5
HR,05-01-07,518
HR,06-01-07,748
HR,07-01-07,964.5
HR,08-01-07,1174
HR,09-01-07,1613.5
HR,10-01-07,1639
HR,11-01-07,1030
HR,12-01-07,657
HR,01-01-08,468
HR,02-01-08,432.5
HR,03-01-08,495.5
HR,04-01-08,451
HR,05-01-08,398
HR,06-01-08,469
HR,07-01-08,696
HR,08-01-08,907
HR,09-01-08,849
HR,10-01-08,862
HR,11-01-08,1209.5
HR,12-01-08,1237.5
HR,01-01-09,1391.5
HR,02-01-09,1235
HR,03-01-09,1027.5
HR,04-01-09,706
HR,05-01-09,601
HR,06-01-09,790.5
HR,07-01-09,859
HR,08-01-09,862
HR,09-01-09,862
HR,10-01-09,1554.5
HR,11-01-09,1755
HR,12-01-09,1556.5
HR,01-01-10,1598.5
HR,02-01-10,1420
HR,03-01-10,894
HR,04-01-10,745.5
HR,05-01-10,586
HR,06-01-10,629.5
HR,07-01-10,790.5
